ARTICLE_TITLE	PUBLICATION_TITLE	ARTICLE_TEXT	CLUSTER_NUMBER	CLUSTER_LABEL
Youth welfare demands clarity	The Australian	A gender clinic inquiry serves everyone, including trans kids The coronavirus pandemic has been an all-consuming challenge, but other health issues also require vigilance. Earlier this month federal Health Minister Greg Hunt revived debate about medical treatments at children’s hospital gender clinics. Mr Hunt is right that this issue demands careful attention because it involves vulnerable minors. Unfortunately, his intervention has sown confusion. He has ruled out a national inquiry but would 	1	coronaviruses covid19; social networks; demonstrations protests
Prime Minister has time to reset and take control	The Australian	A new parliamentary year carries opportunities and risks Although Scott Morrison has had a wicked summer he’d rather forget, it’s an experience he must learn from if he is to successfully reset his political and policy fortunes. The Prime Minister’s reputation as a skilled communicator, decisive leader and cheery man of the people has been battered. On Monday we reported the Coalition had taken an electoral hit from the bushfire crisis and the sports rorts controversy, with Mr Morrison’s popular	7	prime ministers; politics prime; parents parenting
ABC staff told to mince words	The Australian	A pedophile, defined by the Macquarie Dictionary, is “an adult who engages in sexual activities with children’’. The public understands the term — it could not be clearer. Unless you are a senior news producer at the national broadcaster in Tasmania. As Matthew Denholm wrote on Saturday, ABC reporters in the state have been told to avoid referring to child sex abusers as pedophiles, including those who serially abused children for many years. “We should avoid it, unless we know he had a clinical	1	coronaviruses covid19; social networks; demonstrations protests
The law can make mistakes	The Australian	A petition by leading scientists has pleaded a mother’s innocence A campaign by some of the nation’s top scientists to right what they say is a grave injustice against a woman accused of murdering her four infant children is too powerful to ignore. The case against Kathleen Folbigg, who is serving a 30-year jail term, has echoes of the Lindy Chamberlain affair in which a disbelieving public and legal process refused to accept the possibility a dingo had taken her baby. The 90 scientists who have	1	coronaviruses covid19; social networks; demonstrations protests
Don’t push panic button, economy is not in toilet	The Australian	A poorly designed fiscal stimulus risks recession or waste The good news, declares Scott Morrison, is Kimberly-Clark, which produces toilet paper, has opened up its factory line in South Australia. The nation’s panicky shoppers should be relieved. “That’s the economy in motion,” the Prime Minister said on Tuesday ahead of the Reserve Bank’s last-gasp cash rate cut brought on by the coronavirus outbreak. The Bureau of Statistics reported on Wednesday gross domestic product expanded in the Decembe	8	gross domestic; domestic product; product gdp
US isolationism carries risks	The Australian	A pragmatic Middle East policy is important to the West Amid fears that Libya is close to becoming another Syria, with all that would entail in human suffering and migrants fleeing to Europe, Western nations have good reason to exert leadership to step in to help end the civil war. On Saturday, forces loyal to Libyan military strongman Khalifa Haftar blocked oil exports from the country’s main ports, raising the stakes at the Berlin summit aimed at bringing peace to the North African nation. The	2	climate change; national security; environmental policy
Rains stir familiar lament on lack of preparation	The Australian	A precious resource is wasted as floodwater flows freely out to sea A return of flooding rains that have inundated towns and homes along the east coast of Australia demonstrates how poor planning can exacerbate the dangers and squander the opportunities that natural events can bring. Bad design, inadequate infrastructure and unchecked urban expansion increase the cost of disasters. A lack of foresight to prepare for events that occur on a regular if not totally predictable basis means that preci	1	coronaviruses covid19; social networks; demonstrations protests
Revival road to a dynamic, more productive Australia	The Australian	A rare chance to reinvent engine of growth and prosperity This week Mervyn King, one of the world’s leading economists and governor of the Bank of England during the global financial crisis, declared that governments were “doing enormous damage” by freezing their economies through lockdowns to suppress the spread of coronavirus. “This is necessary in the short run but we need to plan an exit route sooner rather than later,” Lord King, who now sits in the House of Lords, told economics editor Ada	8	gross domestic; domestic product; product gdp
We were warned on aged care	The Australian	A rationale of lockdown was to protect the sick and elderly Victoria starts this week with almost 700 active cases of COVID-19 linked to staff and residents in aged care. State Chief Health Officer Brett Sutton has pointed out what we already knew: that Europe’s experience showed rapid spread of the virus and high mortality in aged-care facilities. These were deaths in circumstances of great suffering and emotional pain, including for extended families, with infection risk denying a proper farew	5	disease transmission; transmission covid19; coronaviruses pandemics
Beijing tests US in South China Sea	The Australian	A second stage of aggression around the Spratly Islands is under way Anger in The Philippines over China’s deployment of hundreds of maritime militia ships masquerading as fishing boats, which violates the country’s territorial integrity in defiance of international law, is well justified. So is Washington’s dispatch of the US 7th Fleet’s powerful USS Theodore Roosevelt carrier strike group to the South China Sea amid rising tensions over the aggressive new attempt by Beijing to assert ownership	1	coronaviruses covid19; social networks; demonstrations protests
Asia-Pacific allies close ranks to secure the region	The Australian	A strategic plan is vital in the face of Chinese aggression After an absence of 13 years, Australia’s return to the annual Malabar naval exercise is significant and welcome. The exercise has assumed crucial importance for the security of the Indo-Pacific region at a time of unrelenting Chinese belligerence. Announcing Australia’s participation alongside fellow members of the Quad alliance, India, Japan and the US, in next month’s exercise in the Indian Ocean, Defence Minister Linda Reynolds said	1	coronaviruses covid19; social networks; demonstrations protests
Guard against march of Big Brother in virus crisis	The Australian	A temporary loss of liberties can quickly become permanent As most of us find every day, Australians are working to a whole new set of rules, as Scott Morrison noted on Monday. The actions of government, the Prime Minister said, need to be well considered, well tempered, targeted and effective. They also must be “clear in their purpose and they must be efficient in their execution. It is never the time for rash and ill-conceived decisions”. Caution, fairness and good judgment are essential, espe	1	coronaviruses covid19; social networks; demonstrations protests
COMMENT Comply and it’s a win for everybody	Bay of Plenty Times	A warm, dry, healthy, safe home. It is surely a basic desire for most people. In fact, it goes beyond that; it is a fundamental human right, spelled out in domestic legislation, international agreements and conventions to which New Zealand is a signatory, or with which it has agreed to comply. The crux of them is the right of people to have adequate, affordable, accessible, habitable housing where they can live in security, peace and dignity. In a country where the quality of life should be good	1	coronaviruses covid19; social networks; demonstrations protests
Fresh strategy to close the gap	The Australian	Aborigines are entitled to step up and take responsibility First the good news. The Closing the Gap process, launched by the Rudd government with Coalition support 12 years ago, is on track to have 95 per cent of indigenous four-year-olds enrolled in early childhood education by 2025. The gap in Year 12 attainment is also narrowing, opening up better job and study opportunities. The number of indigenous Australians accessing higher education has more than doubled in a decade, with 20,000 Aborigi	1	coronaviruses covid19; social networks; demonstrations protests
PM faces a double political problem-solving challenge	The Australian	Absences from cabinet distract from otherwise solid performance Defence Minister Linda Reynolds is doing the sensible thing in following medical advice and extending her sick leave. Accommodations are being made in her absence, as they would in any workplace, and all wish her a swift recovery of health. However, she is a cabinet minister in the eye of a political storm and, while her medical leave is perfectly proper, it has unfortunate and inescapable political consequences. Obviously, the sexu	7	prime ministers; politics prime; parents parenting
Ridding themselves of dissent	The Australian	Academics’ rights to criticise colleagues’ work is on the line The fragility of intellectual freedom, a cornerstone of universities for centuries, has been underlined by James Cook University’s pursuit of marine physicist Peter Ridd, whom it dismissed in 2018. The institution is appealing against a Federal Circuit Court decision in April last year that found JCU had contravened the Fair Work Act when it dismissed Dr Ridd for criticising colleagues for their research on the impact of global warmi	2	climate change; national security; environmental policy
Biden tackles US gun violence	The Australian	Action against the worsening firearms crisis is decades overdue There is, as Joe Biden says, “a long way to go” before effective gun control is achieved in the US. But the series of “initial executive orders” he has signed are a start, and it will be unfortunate if the powerful US gun lobby fails to heed the President’s warning about the damaging “blemish on our character as a nation” being done by the “epidemic” of unrelenting gun violence. The measures are modest. They include a crackdown on s	2	climate change; national security; environmental policy
Sloppy errors, single Covid case lock down two million	The Australian	After telling others what to do Mr McGowan must fix the WA mess Locked down for five days over a single case of a mutant variant of COVID-19 that infected a quarantine security guard in his 20s, the people of Perth and its surrounds are entitled to feel West Australian Premier Mark McGowan has commandeered them into an alternative universe. They deserve support, as do the state’s contact tracers and other quarantine security guards. The last thing people need at an anxious time is the sort of vo	5	disease transmission; transmission covid19; coronaviruses pandemics
US faces grim times before it can build a better future	The Australian	After the pandemic, world will need America’s leadership US Surgeon-General Jerome Adams, his country’s top public health official, has left no doubt about the enormity of the challenges now confronting the world’s most powerful nation over the coronavirus. “This is going to be the hardest and saddest week of most Americans’ lives,” he said on Sunday. “This is going to be our Pearl Harbor moment, our 9/11 moment, only it’s not going to be localised. It’s going to be happening all over the countr	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
Plan to go soon, go hard, go business, go pensioners	The Australian	After the stimulus we had to have, bold reform must follow A global pandemic has been declared, pockets of the nation are being shut down and the budget surplus, a rare plant that flowers in fecund eras, is gone. For how long? It depends on how well the Morrison government manages what was first diagnosed as a supply-side crunch but has quickly become a sharp shock to demand as well. The government’s $17.6bn fiscal response — which has ballooned rhetorically and physically in gestation — has sev	8	gross domestic; domestic product; product gdp
Best thing for Israel is a clear result	The Australian	After years of uncertainty, voters deserve a stable government With so much at stake in the outcome, it will be a pity if voting on Tuesday in Israel’s fourth election in two years ends up with yet another inconclusive result. The genius of the Jewish state, demonstrated in recent weeks by its remarkable, world-leading success in delivering COVID-19 vaccinations to most of its 10 million people, enabling the reopening of the economy, is incontestable. So is its achievement in being the Middle Ea	7	prime ministers; politics prime; parents parenting
EDITORIAL Covid-19 blame game kicks off	The Northern Advocate	Agame of international political football is under way. The match-up mainly pits the United States Government — caught flat-footed in the pandemic — against China, trying to pin blame on the nation where Covid-19 emerged. President Donald Trump, who refuses to shoulder any responsibility himself, thinks Beijing should. “It could have been stopped in China before it started, and it wasn’t.” US criticism of Beijing’s secretive, authoritarian system is shared by two of the hardest-hit countries, Br	6	political campaigns; diplomatic consular; consular services
EDITORIAL Plenty of refund turbulence for Air NZ	Wanganui Chronicle	Air New Zealand faces yet another challenge as its image takes a pasting over ticket refunds. Deep in Covid-caused financial strife, the airline is now fighting a public relations battle as Consumer NZ and a number of its customers roast it over refunds. The airline can hold the line on non-refundable tickets. They are just that, the fine print says so. But then it gets complicated. Where does the moral obligation to pay those passengers who bought the usually less expensive tickets start and fi	1	coronaviruses covid19; social networks; demonstrations protests
Defence equipment below par	The Australian	Air force planes must fly; naval vessels need to be at sea On July 1 Scott Morrison announced a major update to Australia’s defence strategy and capabilities. In his remarks at the Australian Defence Force Academy, the Prime Minister revealed an astute appreciation of the rapidly changing geo-strategic situation under way in our immediate region and the wider Indo-Pacific. He committed the government to significant enhancements of Australia’s maritime strike and cyber capabilities. The goals wer	1	coronaviruses covid19; social networks; demonstrations protests
Teaching methods must add up	The Australian	Alan Tudge is correct to focus on curriculum and quality teaching More than $23bn in extra funding has been allocated, and millions of words printed, to improve the performance of Australian schools since 2013 — with too little to show for it. Yet again, new education targets are being set, as they were by Kevin Rudd and Julia Gillard, who announced an “education revolution’’ after winning office in 2007. Numerous ministers, from both sides, have expressed similar ambitions since. On Thursday, E	7	prime ministers; politics prime; parents parenting
Another Putin critic poisoned	The Australian	Alexei Navalny is the latest Russian targeted for attack Confirmation that Russian opposition leader Alexei Navalny was poisoned has added his name to a sickening rollcall of President Vladimir Putin’s adversaries who have ended up dead or fighting for their lives. Toxicology tests on Mr Navalny, 44, who was flown from Omsk in Siberia last Saturday to Berlin’s Charite Hospital, concluded he was poisoned by cholinesterase inhibitors, found in pesticides, and by agents that damage the central nerv	1	coronaviruses covid19; social networks; demonstrations protests
EDITORIAL Adapting to the challenges	Bay of Plenty Times	All of us are questioning how we can continue daily life routines that keep us mentally, spiritually and physically well while keeping ourselves and others safe from the spread of Covid-19. In these times of uncertainty and change, we can take some comfort in knowing that despite the isolation we must practise, we are not alone. Like all local businesses, your community newspaper has had to adjust to the impacts of Covid-19. Next week’s edition will look different as we navigate the stormy water	1	coronaviruses covid19; social networks; demonstrations protests
NATO leader right to look east	The Australian	Alliances of democracies are seeking to counter China’s aggression As the West’s premier military alliance for 72 years, NATO’s focus has been primarily on its founding post-war mandate as “the North Atlantic Treaty Organisation”. But its 30 member nations should consider current Secretary-General Jens Stoltenberg’s warning that, given the growing challenge posed by China, it is time for the organisation to embrace a significantly broader outlook and work “even more closely” with Australia, Japa	1	coronaviruses covid19; social networks; demonstrations protests
EDITORIAL Trump needs to find his running game	The Northern Advocate	American elections tend to tighten sharply in the home stretch. But as the pandemic worsens in the United States it is quite possible that shift will be minor. Covid-19 is accelerating in the US, having passed 138,000 deaths and 3.5 million cases. It took 80 days to reach its first 500,000 cases and just eight days to reach its last 500,000. Millions of people have lost their jobs. Those conditions are reflected in polls that show President Donald Trump lagging nationally by 8 to 10 per cent. In	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
EDITORIAL Trump needs to find his running game	Wanganui Chronicle	American elections tend to tighten sharply in the home stretch. But as the pandemic worsens in the United States it is quite possible that shift will be minor. Covid-19 is accelerating in the US, hitting a record 73,000 daily cases on Friday. The US has passed 138,000 deaths and 3.5 million cases. It took 80 days to reach its first 500,000 cases and just eight days to reach its last 500,000. New cases are on the rise in three dozen states. Millions of people have lost their jobs. Those condition	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
Resilience key to survive Covid	The Australian	Amid isolation, human warmth matters more than ever Only those who have lost a loved one to suicide understand the raw pain. No matter how many anniversaries and birthdays pass, emptiness, regrets over what might have been and sometimes a dollop of guilt continue to flicker. R U OK? Day, on the second Thursday of September each year, encourages public discussion of social isolation and its consequences, including suicide. Amid COVID-19, it has rarely been as important. This year it coincides wit	1	coronaviruses covid19; social networks; demonstrations protests
Higher costs, smarter health	The Australian	An ageing population and new technology pose challenges AMA president Tony Bartone warned on Wednesday of the “enormous strain” on our hospitals as the country ages. It’s true Australia has by global standards an enviable health system with pretty good outcomes relative to costs. Some of the issues adverted to by Dr Bartone are First World problems in the sense that we usually have the means to pay for costly medical technology. Even so, the pressure on hospitals is undeniable and will increase 	1	coronaviruses covid19; social networks; demonstrations protests
Traumatised staffer needed help	The Australian	An allegation of a serious crime, rape, was mishandled abysmally Brittany Higgins, the former Liberal staff member who allegedly was raped in Parliament House in Canberra in 2019, is right when she says: “Everyone should feel safe to report sexual assault without fear of losing their job. These incidents shouldn’t have to play out in the media for change to happen.” Her decision to ask Australian Federal Police to investigate the incident is right. It allegedly occurred on the couch in then defe	1	coronaviruses covid19; social networks; demonstrations protests
The grievance industry is making a dill of itself	The Australian	Another day, another epistle from the church of the perpetually aggrieved. Shaad D’Souza wants the word colonial abolished from commercial activity in the context of a hopelessly culturally unaware brewery operation even though he deems this campaign to be “stupid” (“Colonial ale deemed beyond the pale”, 17/6). Will he extend his campaign to having the word disappear from social discourse entirely? Perhaps create a modern day puritanical version of an index of forbidden words and books? He will 	1	coronaviruses covid19; social networks; demonstrations protests
ALP must trim sails on spending	The Australian	Anthony Albanese is right to ditch one of Labor’s big tax measures It has taken 20 months. But, better late than never, Anthony Albanese has learned one of the big lessons of the 2019 May election. The Opposition Leader has killed off one of Bill Shorten’s most foolish policies and promised to make no changes to retired Australians’ franking credits refunds. If the pledge marks a shift away from the high tax-and-spend agenda Labor adopted in the lead-up to the last election, the nation will be b	9	hotels motels; economic reform; motels quarantine
Partisan politics slips out of temporary self-isolation	The Australian	Anthony Albanese would have blown up national cabinet No matter social-distancing rules or restrictions on gatherings, politicians revert to type. In our robust democracy, they accentuate differences, bicker and form factions. It’s in their DNA: Do Not Agree. We wish leaders would set aside cudgels and look to the common good. The coronavirus pandemic provides an opportunity for politicians to do so; if they can’t be better, they should try to be different, if only temporarily. On Monday, at a s	4	pandemics covid19; employment pandemics; coronaviruses employment
The lessons of Auschwitz must never be forgotten	The Australian	Anti-Semitism is rapidly on the rise, from left and right Seventy-five years ago the world slowly awakened to the horrors of Auschwitz-Birkenau as Soviet troops liberated the largest Nazi death camp in occupied southwestern Poland. In Australia, the gruesome discovery was marked in our newspapers via a snippet from Reuters, understated and naive in retrospect. It noted a “terrible concentration camp” had been captured at Oswiecim, where “tens of thousands of people were tortured” and “thousands 	1	coronaviruses covid19; social networks; demonstrations protests
Reopen borders for prosperity	The Australian	Any easing of restrictions is welcome but we need far more The limited easing of border restrictions for rural workers in NSW and Queensland is a welcome acknowledgment that rigid, city-focused COVID-19 rules are unwise and unworkable. Much remains to be done, however, to avoid the creation of a mishmash of different rules between various jurisdictions that might look good to bureaucrats but make no sense out bush. Rather than small-picture exemptions, the focus must be on how to lift border res	1	coronaviruses covid19; social networks; demonstrations protests
We say Towards level 3 and the ‘recovery room’	The New Zealand Herald	Any move to the lower level would be about consolidating the gains made in alert level 4, not risking reversing them. New Zealanders wake up this morning to another weekend in lockdown. Another weekend that has come to look remarkably similar to the rest of the week — and the weeks and weekends before it — for the house-bound majority. But this weekend there is a difference; this weekend could be the country’s last in alert level 4. On Monday, Prime Minister Jacinda Ardern and her Cabinet will m	5	disease transmission; transmission covid19; coronaviruses pandemics
China’s ominous media purge	The Australian	Apple Daily readers are voting with their feet and wallets Beijing’s inflammatory propaganda machine regards Jimmy Lai, the 71-year-old billionaire Hong Kong media tycoon arrested on Monday, as a “dangerous traitor” hellbent on inciting a “colour revolution” in the territory. In reality, he is a rags-to-riches businessman and newspaper publisher who is Hong Kong’s most effective pro-democracy advocate on the world stage. His humiliating arrest and incarceration on Monday confirms the Chinese Com	1	coronaviruses covid19; social networks; demonstrations protests
RBG’s death sparks battle royal	The Australian	Appointing a new judge will now be a major campaign issue Donald Trump wants “no delay” in replacing the influential liberal Justice Ruth Bader Ginsburg on the nine-member bench of the powerful US Supreme Court. Her death from cancer at the age of 87 has unleashed a titanic battle, with big implications for November’s election, especially if the court has to rule on any dispute, as it did in 2000 between George W Bush and Al Gore over Florida ballots. Before she died Justice Ginsburg said: “My m	6	political campaigns; diplomatic consular; consular services
The Earth breathed again with a reset EDITORIAL	Wanganui Chronicle	Are we there yet? No, but you could be forgiven for thinking coming down a rung was Level free. People were really disappointed because we’re all doing our bit, but there were cracks. There was a rush on takeaways and some just left their rubbish out — granted it was on top of a public bin. But here’s something we could all do, and that’s take our rubbish home. Your rubbish, your responsibility. For many, this has been a time of reflection, of reset. We were reminded of the important lessons of 	1	coronaviruses covid19; social networks; demonstrations protests
Time will tell	Herald on Sunday	As New Zealand prepares to exit alert level 4 lockdown and take its first tentative steps towards a new normal, it is timely to reflect on the tests, trials and triumphs of the past unprecedented month. It seems likely history will judge New Zealand’s initial response to the pandemic favourably. The Government’s decision to “go hard and go early”, backed by a largely impressive public health response and Kiwis’ strength and determination to stay the course, appears to have paid off — at least in	1	coronaviruses covid19; social networks; demonstrations protests
Stimulus reaches out to save jobs in real economy	The Australian	As PM says, the hardships ahead must not break our spirit The new stimulus package announced by Scott Morrison and Josh Frydenberg on Sunday takes the government’s total economic response to COVID-19 to $189bn so far. Other fiscal measures are likely to follow in coming months, as Finance Minister Mathias Cormann flagged. The government is tackling the challenge with a clear sense of direction and purpose. Several key features of its response are clear. First, it is enormous and generous, edging	1	coronaviruses covid19; social networks; demonstrations protests
Universities’ challenging era with less ‘Kool-Aid’	The Australian	As Professor Craven says, vice-chancellors need to ‘speak Coalition’ If retiring Australian Catholic University vice-chancellor Greg Craven does not resume his career as a distinguished constitutional lawyer, he might consider auditioning for a role as a talking head. In a provocative interview on Monday with Richard Ferguson, Professor Craven, master of the pithy phrase, says that without foreign students to feed their “drug addiction” (to revenue), elite Group of 8 institutions might have to a	2	climate change; national security; environmental policy
Selfish call on grim Covid day	The Australian	As Victoria struggles, upping the risk in NSW is dangerous On Australia’s deadliest day of the coronavirus pandemic so far, it was a selfish, unconscionable call by a group supposedly dedicated to improving human rights and the lives of black, disadvantaged Australians. In the context of the news of the day, the NSW Supreme Court’s ruling in favour of the bid by the state’s police to stop the planned Black Lives Matter rally in Sydney’s CBD on Tuesday was eminently sensible. But protest organise	5	disease transmission; transmission covid19; coronaviruses pandemics
EDITORIAL Another higher hill to climb after virus battle	The Northern Advocate	As any tramper knows, few things are more dispiriting than slogging up what should be the final slope, only to discover there’s a higher ridge still to climb. So it is with the fight against Covid-19. While we’re working our way uphill, hoping the skyline ahead really is the summit, when we get there we’re going to face another uphill battle — against climate change and environmental degradation. Given what the world is going through, it would be tempting to ignore that next struggle. After all,	2	climate change; national security; environmental policy
EDITORIAL Another higher hill to climb after battle with virus	Wanganui Chronicle	As any tramper knows, few things are more dispiriting than slogging up what should be the final slope, only to discover there’s a higher ridge still to climb. So it is with the fight against Covid-19. While we’re working our way uphill, when we get there we’re going to face another uphill battle — against climate change and environmental degradation. Given what the world is going through, it would be tempting to ignore that next struggle. After all, we’re spending all our money right now, coping	2	climate change; national security; environmental policy
Low productivity, meat pies, kangaroos, not Holden cars	The Australian	As one era ends, we need to set our sights for higher growth The decision by General Motors to retire the Holden name from sales is a sad occasion. With its roots in an 1850s Adelaide saddlery, then production of carriages, motorcycle sidecars and, eventually, a Port Melbourne factory turning out “Australia’s own car”, Holden will perhaps be the most iconic local brand to disappear. Our vehicle industry was sheltered behind the tariff wall for decades. Once Bob Hawke and Paul Keating started dis	9	hotels motels; economic reform; motels quarantine
EDITORIALComparing lockdown experiences is unfair	Hawkes Bay Today	As parents, teachers and children come to grips with a new way of school life this week it’s important to acknowledge no family can be living the same experience right now. Term two starts tomorrow, nearly three weeks after New Zealand went into alert level 4 lockdown in a bid to fight Covid-19. We have just over a week of that initial four-week lockdown period left, with a decision on whether it will be extended due April 20. Until then, there is no way of knowing how long children will be lear	7	prime ministers; politics prime; parents parenting
EDITORIALComparing lockdown experiences is unfair	Bay of Plenty Times	As parents, teachers and children come to grips with their new way of school life this week it’s important to acknowledge that no family can be living the same experience right now. Term two starts tomorrow, nearly three weeks after New Zealand went into alert level 4 lockdown in a bid to fight Covid-19. We have just over a week of that initial four-week lockdown period left, with a decision on whether it will be extended due on April 20. Until then, there is no way of knowing how long children 	7	prime ministers; politics prime; parents parenting
EDITORIALComparing lockdown experiences is unfair	The Northern Advocate	As parents, teachers and children come to grips with their new way of schooling, it’s important to acknowledge that no family will be living the same experience right now. Term two starts tomorrow, nearly three weeks after New Zealand went into alert level 4 lockdown in a bid to fight Covid-19. We have just over a week of that initial four-week lockdown period left, with a decision on whether it will be extended due on April 20. Until then, there is no way of knowing how long children will be le	7	prime ministers; politics prime; parents parenting
Markets give ammo for higher taxes	The New Zealand Herald	As stock markets soared back to where they were at the start of the year, opinion writers tried to make sense of the nonsensical. For equity investors “it’s like the pandemic never happened”, wrote Matt Phillips in the New York Times, noting the S&P 500, a leading stock market index, on Tuesday was up nearly 45 per cent since March 23. This despite plummeting corporate earnings, tens of millions of people unemployed and industries such as tourism, retail and entertainment shattered and facing an	1	coronaviruses covid19; social networks; demonstrations protests
Changing to deal with pandemic	The Northern Advocate	As the Covid-19 pandemic continues to sweep across New Zealand and the world, we are all being forced to make changes to the way we do things. The current nationwide lockdown is a prime example of the adaptations we have had to make — often with little notice, or time to prepare. At the Northern Advocate, we are also being forced to make alterations to the way we do things as we cover the everyday events that have been our bread and butter. Of course, there is nothing everyday about any of this.	3	pandemics covid19; coronaviruses pandemics; vaccines coronaviruses
Marking high-flyers’ centenary	The Australian	As the RAAF marks its centenary, it is increasingly vital to the nation’s security. And it is looking to the future. A new “Space Command”, to be established within the Australian Defence Force next year, is likely to be jointly staffed by air force, army and navy personnel, Ben Packham reports. Amid a growing military space race, its role will be to operate and protect the ADF’s satellite-based capabilities, Chief of Air Force Mel Hupfeld revealed in an interview to mark the RAAF centenary. Unl	1	coronaviruses covid19; social networks; demonstrations protests
Stepping up to more active role	The Australian	As the US retreats, Canberra must work with other nations It is no surprise a Department of Foreign Affairs and Trade audit ordered by Scott Morrison has called on Australia to pursue a strengthened and more active role in multilateral bodies including the UN. With the US turning inward and China’s ambition to dominate the global agenda, the recommendation makes sense not only for us but also other medium powers. Last month’s World Health Assembly, at which 137 nations unanimously supported our 	2	climate change; national security; environmental policy
